私 | Tôi / わたし
十四日 | Ngày mười bốn / じゅうよっか
二十日 | Ngày hai mươi / はつか
二十四日 | Ngày hai mươi tư / にじゅうよっか
何 | Cái gì / なに / なん
誰 | Ai / だれ
何時 | Mấy giờ / なんじ
何曜日 | Thứ mấy / なんようび
何月 | Tháng mấy / なんがつ
何日 | Ngày mấy / なんにち
いくら | Bao nhiêu tiền / いくら
いくつ | Bao nhiêu cái / いくつ
どこ | Ở đâu / どこ
どちら | Phía nào / どちら
どう | Như thế nào / どう
どんな | Như thế nào (tính chất) / どんな
どうして | Tại sao / どうして
いつ | Khi nào / いつ
誰の | Của ai / だれの
とても | Rất / とても
あまり | Không... lắm (đi với phủ định) / あまり
少し | Một ít / すこし
たくさん | Nhiều / たくさん
一番 | Nhất / いちばん
もっと | Hơn nữa / もっと
ちょうど | Vừa đúng, vừa khít / ちょうど
だいたい | Đại khái / だいたい
多分 | Có lẽ / たぶん
きっと | Chắc chắn / きっと
ずっと | Suốt, hơn hẳn / ずっと
始めて | Lần đầu tiên / はじめて
もう一度 | Lại một lần nữa / もういちど
すぐ | Ngay lập tức / すぐ
また | Lại, hẹn gặp lại / また
鉛筆 | Bút chì / えんぴつ
消しゴム | Cục tẩy / けしゴム
定規 | Thước kẻ / じょうぎ
筆箱 | Hộp bút / ふでばこ
鋏 | Cái kéo / はさみ
パンチ | Cái đục lỗ / パンチ
ホッチキス | Cái dập ghim / ホッチキス
セロテープ | Băng dính / セロテープ
書類 | Tài liệu / しょるい
名刺 | Danh thiếp / めいし
切手 | Tem thư / きって
封筒 | Bao thư / ふうとう
ポスト | Hòm thư / ポスト
石鹸 | Xà phòng / せっけん
歯ブラシ | Bàn chải đánh răng / はブラシ
鏡 | Gương / かがみ
ハンカチ | Khăn tay / ハンカチ
お土産 | Quà lưu niệm / おみやげ
指輪 | Nhẫn / ゆびわ
腕時計 | Đồng hồ đeo tay / うでどけい
手袋 | Găng tay / てぶくろ
下着 | Đồ lót / したぎ
服 | Quần áo / ふく
洋服 | Quần áo kiểu Tây / ようふく
和服 | Quần áo kiểu Nhật / わふく
コート | Áo khoác / コート
セーター | Áo len / セーター
水着 | Đồ bơi / みずぎ
道 | Con đường / みち
交差点 | Ngã tư / こうさてん
信号 | Đèn giao thông / しんごう
角 | Góc đường / かど
橋 | Cây cầu / はし
坂 | Cái dốc / さか
港 | Cảng / みなと
村 | Ngôi làng / むら
島 | Hòn đảo / しま
池 | Cái ao / いけ
林 | Khu rừng nhỏ / はやし
森 | Rừng già / もり
太陽 | Mặt trời / たいよう
月 | Mặt trăng / つき
空 | Bầu trời / そら
風 | Gió / かぜ
波 | Sóng / なみ
星 | Ngôi sao / ほし
光る | Chiếu sáng / ひかる
曇る | Nhiều mây / くもる
晴れる | Nắng, quang đãng / はれる
降る | Rơi (mưa, tuyết) / ふる
吹く | Thổi (gió) / ふく
咲く | Nở (hoa) / さく
消える | Bị tắt / きえる
壊れる | Bị hỏng / こわれる
割れる | Bị vỡ / われる
折れる | Bị gãy / おれる
汚れる | Bị bẩn / よごれる
外れる | Bị tuột, rời ra / はずれる
止まる | Dừng lại / とまる
掛かる | Tốn (thời gian, tiền bạc) / かかる
大変 | Vất vả / たいへん
残念 | Đáng tiếc / ざんねん
心配 | Lo lắng / しんぱい
無理 | Không thể, quá sức / むり
上手 | Giỏi / じょうず
下手 | Kém / へた
一生懸命 | Hết sức mình / いっしょうけんめい
本当 | Sự thật / ほんとう
